Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,029038,1912,04,0.0,Y
IDCJAC0001,029038,1912,05,0.0,Y
IDCJAC0001,029038,1912,06,0.0,Y
IDCJAC0001,029038,1912,07,0.0,Y
IDCJAC0001,029038,1912,08,0.0,Y
IDCJAC0001,029038,1912,09,0.0,Y
IDCJAC0001,029038,1912,10,82.3,Y
IDCJAC0001,029038,1912,11,41.1,Y
IDCJAC0001,029038,1912,12,82.5,Y
IDCJAC0001,029038,1913,01,429.7,Y
IDCJAC0001,029038,1913,02,487.1,Y
IDCJAC0001,029038,1913,03,389.7,Y
IDCJAC0001,029038,1913,04,45.0,Y
IDCJAC0001,029038,1913,05,5.3,Y
IDCJAC0001,029038,1913,06,0.0,Y
IDCJAC0001,029038,1913,07,0.0,Y
IDCJAC0001,029038,1913,08,0.0,Y
IDCJAC0001,029038,1913,09,0.0,Y
IDCJAC0001,029038,1913,10,0.0,Y
IDCJAC0001,029038,1913,11,36.8,Y
IDCJAC0001,029038,1913,12,190.3,Y
IDCJAC0001,029038,1914,01,261.6,Y
IDCJAC0001,029038,1914,02,82.6,Y
IDCJAC0001,029038,1914,03,476.8,Y
IDCJAC0001,029038,1914,04,97.6,Y
IDCJAC0001,029038,1914,05,0.0,Y
IDCJAC0001,029038,1914,06,39.4,Y
IDCJAC0001,029038,1914,07,0.0,Y
IDCJAC0001,029038,1914,08,0.0,Y
IDCJAC0001,029038,1914,09,0.0,Y
IDCJAC0001,029038,1914,10,7.9,Y
IDCJAC0001,029038,1914,11,33.8,Y
IDCJAC0001,029038,1914,12,385.6,Y
IDCJAC0001,029038,1915,01,301.5,Y
IDCJAC0001,029038,1915,02,101.1,Y
IDCJAC0001,029038,1915,03,66.0,Y
IDCJAC0001,029038,1915,04,0.0,Y
IDCJAC0001,029038,1915,05,0.0,Y
IDCJAC0001,029038,1915,06,0.0,Y
IDCJAC0001,029038,1915,07,0.0,Y
IDCJAC0001,029038,1915,08,0.0,Y
IDCJAC0001,029038,1915,09,0.0,Y
IDCJAC0001,029038,1915,10,0.0,Y
IDCJAC0001,029038,1915,11,8.9,Y
IDCJAC0001,029038,1915,12,140.0,Y
IDCJAC0001,029038,1916,01,405.3,Y
IDCJAC0001,029038,1916,02,160.4,Y
IDCJAC0001,029038,1916,03,112.2,Y
IDCJAC0001,029038,1916,04,14.9,Y
IDCJAC0001,029038,1916,05,18.3,Y
IDCJAC0001,029038,1916,06,0.0,Y
IDCJAC0001,029038,1916,07,0.0,Y
IDCJAC0001,029038,1916,08,0.0,Y
IDCJAC0001,029038,1916,09,0.0,Y
IDCJAC0001,029038,1916,10,0.0,Y
IDCJAC0001,029038,1916,11,77.2,Y
IDCJAC0001,029038,1916,12,194.6,Y
IDCJAC0001,029038,1917,01,361.4,Y
IDCJAC0001,029038,1917,02,327.5,Y
IDCJAC0001,029038,1917,03,246.5,Y
IDCJAC0001,029038,1917,04,22.4,Y
IDCJAC0001,029038,1917,05,8.9,Y
IDCJAC0001,029038,1917,06,0.0,Y
IDCJAC0001,029038,1917,07,0.0,Y
IDCJAC0001,029038,1917,08,0.0,Y
IDCJAC0001,029038,1917,09,28.2,Y
IDCJAC0001,029038,1917,10,1.8,Y
IDCJAC0001,029038,1917,11,76.5,Y
IDCJAC0001,029038,1917,12,301.0,Y
IDCJAC0001,029038,1918,01,476.9,Y
IDCJAC0001,029038,1918,02,881.8,Y
IDCJAC0001,029038,1918,03,178.4,Y
IDCJAC0001,029038,1918,04,17.1,Y
IDCJAC0001,029038,1918,05,0.0,Y
IDCJAC0001,029038,1918,06,0.0,Y
IDCJAC0001,029038,1918,07,0.0,Y
IDCJAC0001,029038,1918,08,0.0,Y
IDCJAC0001,029038,1918,09,0.0,Y
IDCJAC0001,029038,1918,10,0.0,Y
IDCJAC0001,029038,1918,11,40.1,Y
IDCJAC0001,029038,1918,12,85.4,Y
IDCJAC0001,029038,1919,01,389.8,Y
IDCJAC0001,029038,1919,02,208.3,Y
IDCJAC0001,029038,1919,03,215.8,Y
IDCJAC0001,029038,1919,04,29.3,Y
IDCJAC0001,029038,1919,05,58.5,Y
IDCJAC0001,029038,1919,06,0.0,Y
IDCJAC0001,029038,1919,07,0.0,Y
IDCJAC0001,029038,1919,08,0.0,Y
IDCJAC0001,029038,1919,09,11.4,Y
IDCJAC0001,029038,1919,10,0.0,Y
IDCJAC0001,029038,1919,11,42.7,Y
IDCJAC0001,029038,1919,12,96.7,Y
IDCJAC0001,029038,1920,01,581.6,Y
IDCJAC0001,029038,1920,02,79.0,Y
IDCJAC0001,029038,1920,03,107.7,Y
IDCJAC0001,029038,1920,04,43.2,Y
IDCJAC0001,029038,1920,05,184.7,Y
IDCJAC0001,029038,1920,06,0.0,Y
IDCJAC0001,029038,1920,07,0.0,Y
IDCJAC0001,029038,1920,08,0.0,Y
IDCJAC0001,029038,1920,09,0.0,Y
IDCJAC0001,029038,1920,10,0.0,Y
IDCJAC0001,029038,1920,11,0.8,Y
IDCJAC0001,029038,1920,12,191.5,Y
IDCJAC0001,029038,1921,01,298.0,Y
IDCJAC0001,029038,1921,02,307.5,Y
IDCJAC0001,029038,1921,03,329.7,Y
IDCJAC0001,029038,1921,04,243.1,Y
IDCJAC0001,029038,1921,05,0.0,Y
IDCJAC0001,029038,1921,06,14.5,Y
IDCJAC0001,029038,1921,07,2.8,Y
