Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,060030,1881,null,null,null,null,null,null,null,null,null,36.6,49.2,54.8,null
IDCJAC0001,060030,1882,21.6,129.5,52.1,46.3,99.2,144.7,38.6,35.8,11.2,108.0,51.9,52.0,790.9
IDCJAC0001,060030,1883,125.1,169.4,38.9,123.1,339.2,31.7,60.9,56.5,47.1,80.8,39.5,45.6,1157.8
IDCJAC0001,060030,1884,19.7,24.4,2.7,136.1,107.2,65.4,321.3,6.9,49.2,77.0,57.4,20.8,888.1
IDCJAC0001,060030,1885,68.8,82.7,36.1,104.7,45.8,100.1,91.0,12.3,27.8,61.9,16.5,128.0,775.7
IDCJAC0001,060030,1886,125.4,44.3,26.2,59.7,65.0,26.7,180.7,33.6,60.1,33.0,149.4,125.2,929.3
IDCJAC0001,060030,1887,90.0,455.2,220.3,384.3,68.6,61.1,51.7,178.1,46.6,16.4,123.3,329.5,2025.1
IDCJAC0001,060030,1888,40.5,293.0,13.4,23.6,9.7,71.9,null,null,null,null,null,null,null
IDCJAC0001,060030,1890,null,null,363.0,72.4,166.1,55.9,163.1,25.4,28.4,10.4,42.9,46.2,null
IDCJAC0001,060030,1891,102.4,79.0,123.7,29.7,48.8,209.3,45.0,71.6,41.9,10.2,166.1,132.1,1059.8
IDCJAC0001,060030,1892,106.4,475.7,356.6,291.1,29.2,24.6,21.9,77.8,17.8,121.6,177.8,342.4,2042.9
IDCJAC0001,060030,1893,31.7,223.1,280.2,53.6,28.7,190.8,75.7,86.8,42.7,185.1,45.8,61.0,1305.2
IDCJAC0001,060030,1894,179.2,186.3,408.9,74.8,34.0,19.1,14.2,7.3,84.5,160.7,10.1,81.7,1260.8
IDCJAC0001,060030,1895,768.1,289.8,52.2,25.7,47.9,2.8,0.5,7.2,59.9,18.6,239.1,181.0,1692.8
IDCJAC0001,060030,1896,53.2,202.2,66.9,16.3,58.6,74.6,25.6,16.7,46.1,45.5,121.4,183.2,910.3
IDCJAC0001,060030,1897,28.5,12.5,40.8,66.3,80.5,211.4,52.1,49.8,21.9,11.7,5.4,471.0,1051.9
IDCJAC0001,060030,1898,75.8,111.0,48.9,30.4,87.9,299.6,59.8,152.6,233.5,61.4,12.0,82.2,1255.1
IDCJAC0001,060030,1899,79.8,58.7,50.1,149.0,88.4,56.5,268.5,652.6,169.8,70.0,69.7,23.4,1736.5
IDCJAC0001,060030,1900,45.0,90.7,50.5,55.3,168.4,205.6,206.1,1.3,32.1,9.9,77.0,54.8,996.7
