,Trend,Latitude,Longitude
AU_72000,no trend,-35.31,148.06
AU_72004,no trend,-35.52,148.15
AU_720024,no trend,-35.5,147.77
AU_72042,no trend,-35.28,147.74
AU_72044,no trend,-35.3,148.21
AU_72154,no trend,-35.22,148.03
AU_73019,decreasing,-34.85,147.57
AU_73025,increasing,-34.79,147.56
AU_73029,decreasing,-34.55,148.35
AU_73124,increasing,-34.93,147.77
AU_74126,increasing,-35.39,147.06
AU_63007,no trend,-34.32,149.36
AU_63022,no trend,-33.8,148.7
AU_63029,increasing,-33.74,149.1
AU_63032,no trend,-34.28,149.67
AU_63083,no trend,-33.82,149.32
AU_63094,increasing,-34.0,149.12
AU_63267,no trend,-33.97,148.95
AU_70043,no trend,-34.78,149.27
AU_70220,no trend,-34.44,148.72
AU_73023,decreasing,-34.61,148.79
AU_73100,no trend,-33.91,148.44
AU_61007,increasing,-32.03,150.58
AU_61016,increasing,-32.39,150.69
AU_61026,no trend,-32.01,151.0
AU_61051,increasing,-31.77,150.84
AU_61065,no trend,-32.14,150.73
AU_61073,increasing,-32.08,150.37
AU_61097,no trend,-31.92,151.24
AU_61100,increasing,-32.77,151.09
AU_62032,increasing,-32.36,149.95
AU_62036,increasing,-32.28,149.74
AU_82001,increasing,-36.37,146.71
AU_82009,no trend,-36.61,146.54
AU_82015,increasing,-36.31,146.52
AU_82029,no trend,-36.46,146.43
AU_82032,increasing,-36.58,146.38
AU_83010,no trend,-36.63,146.86
AU_83032,no trend,-36.85,146.32
AU_83073,no trend,-36.72,146.82
AU_81047,no trend,-36.77,143.83
AU_81085,no trend,-36.86,143.73
AU_88011,no trend,-37.22,143.96
AU_88013,no trend,-37.04,143.82
AU_88015,no trend,-37.3,143.78
AU_88020,no trend,-37.34,144.16
AU_88021,no trend,-37.2,144.01
AU_88083,no trend,-37.27,143.52
AU_88054,no trend,-37.27,144.11
AU_88056,no trend,-37.17,143.7
AU_88066,no trend,-37.21,144.1
AU_87026,no trend,-37.49,144.61
AU_87036,no trend,-37.42,144.56
AU_87061,no trend,-37.57,144.74
AU_23705,no trend,-34.8,138.95
AU_23715,no trend,-34.82,138.75
AU_23719,decreasing,-34.82,138.89
AU_23731,no trend,-34.83,138.82
AU_23737,no trend,-34.77,139.05
AU_23750,no trend,-34.96,138.74
AU_23803,no trend,-34.94,138.73
AU_21001,no trend,-34.03,138.68
AU_21002,no trend,-34.14,138.42
AU_21003,no trend,-33.91,138.72
AU_21035,no trend,-34.03,138.32
AU_21054,no trend,-33.96,138.64
AU_21076,no trend,-33.93,138.81
AU_23039,no trend,-34.19,138.63
AU_97004,decreasing,-41.43,145.7
AU_97014,decreasing,-41.44,145.53
AU_91181,no trend,-41.43,147.21
AU_91197,no trend,-41.49,147.44
AU_92024,no trend,-41.47,147.89
