,January,February,March,April,May,June,July,August,September,October,November,December,Latitude,Longitude
US_Lake_City,increasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,30.2675,-82.6306
US_Camden,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,increasing,no trend,no trend,33.6139,-92.8531
US_Hillsboro,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,32.0728,-97.0931
US_Phoenix_Area,no trend,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,33.6194,-110.9208
US_Marshall,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,increasing,no trend,increasing,increasing,35.8136,-82.6864
US_Subiaco,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,35.3233,-93.6356
US_Hobart_Municipal_AP,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,35.0417,-99.0894
US_Tucumcari_4_NE_,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,35.2281,-103.7394
US_Death_Valley_National_Park,increasing,increasing,no trend,no trend,no trend,no trend,increasing,no trend,increasing,no trend,no trend,no trend,36.5383,-117.0936
US_Hopewell,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,increasing,increasing,no trend,37.3364,-77.2842
US_Neosho,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,36.8681,-94.3681
US_Las_Animas,increasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,38.1406,-103.2272
US_Blanding,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,37.6644,-109.4794
US_Yosemite_National_Park_Area,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,37.7169,-119.6653
US_Saluda,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,increasing,no trend,34.0542,-81.775
US_Clarksdale,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,no trend,increasing,no trend,no trend,34.3017,-90.5644
US_Portales,no trend,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,34.2308,-103.3375
US_Springerville,no trend,no trend,decreasing,decreasing,decreasing,no trend,no trend,no trend,no trend,no trend,no trend,no trend,34.1331,-109.1331
US_Ojai,no trend,no trend,no trend,no trend,no trend,no trend,no trend,decreasing,no trend,no trend,no trend,no trend,34.4503,-119.2439
