,Long Term Trend,Latitude,Longitude
AU_72000,0.005445544554455453,-35.31,148.06
AU_72004,-0.0049885306017225135,-35.52,148.15
AU_720024,0.0001677852348993193,-35.5,147.77
AU_72042,0.0006060606060606146,-35.28,147.74
AU_72044,0.002717391304347826,-35.3,148.21
AU_72154,0.005529411764705882,-35.22,148.03
AU_73019,-0.0039070749736008475,-34.85,147.57
AU_73025,0.005081081081081082,-34.79,147.56
AU_73029,-0.007573149741824442,-34.55,148.35
AU_73124,0.0049009384775808166,-34.93,147.77
AU_74126,0.01542207792207792,-35.39,147.06
AU_63007,0.002693869492601658,-34.32,149.36
AU_63022,0.002280749557226195,-33.8,148.7
AU_63029,0.006289308176100629,-33.74,149.1
AU_63032,0.0008130081300812979,-34.28,149.67
AU_63083,0.002062362019727393,-33.82,149.32
AU_63094,0.008044382801664359,-34.0,149.12
AU_63267,-0.0018132908419508478,-33.97,148.95
AU_70043,0.0009840098400983974,-34.78,149.27
AU_70220,0.0,-34.44,148.72
AU_73023,-0.006091370558375635,-34.61,148.79
AU_73100,0.0036082474226804147,-33.91,148.44
AU_61007,0.005095776609056443,-32.03,150.58
AU_61016,0.007753234260859871,-32.39,150.69
AU_61026,0.003904923599320884,-32.01,151.0
AU_61051,0.007092965174360521,-31.77,150.84
AU_61065,0.005765407554671966,-32.14,150.73
AU_61073,0.005000000000000003,-32.08,150.37
AU_61097,0.00418360461593544,-31.92,151.24
AU_61100,0.008563535911602211,-32.77,151.09
AU_62032,0.007407407407407405,-32.36,149.95
AU_62036,0.008484848484848487,-32.28,149.74
AU_82001,0.007073954983922824,-36.37,146.71
AU_82009,-0.00027991616226909503,-36.61,146.54
AU_82015,0.006856553120832729,-36.31,146.52
AU_82029,0.0009905450004459983,-36.46,146.43
AU_82032,0.006037735849056603,-36.58,146.38
AU_83010,0.007423580786026206,-36.63,146.86
AU_83032,-0.003355980963748506,-36.85,146.32
AU_83073,-0.01087470449172579,-36.72,146.82
AU_81047,0.0021739130434782587,-36.77,143.83
AU_81085,-0.000717172294428842,-36.86,143.73
AU_88011,-0.0003976143141153138,-37.22,143.96
AU_88013,0.0010480611104834352,-37.04,143.82
AU_88015,0.0010999999999999942,-37.3,143.78
AU_88020,0.0008474576271186501,-37.34,144.16
AU_88021,-0.002868852459016405,-37.2,144.01
AU_88083,-0.004419889502762435,-37.27,143.52
AU_88054,-0.001675977653631284,-37.27,144.11
AU_88056,0.0,-37.17,143.7
AU_88066,0.001160092807424594,-37.21,144.1
AU_87026,-0.003304156291898109,-37.49,144.61
AU_87036,0.0031181430142169187,-37.42,144.56
AU_87061,-0.0011278195488721764,-37.57,144.74
AU_23705,-0.0013186813186813198,-34.8,138.95
AU_23715,-0.003903903903903906,-34.82,138.75
AU_23719,-0.009090909090909084,-34.82,138.89
AU_23731,-0.0007802340702210682,-34.83,138.82
AU_23737,-0.002311848258634208,-34.77,139.05
AU_23750,-0.002355266424603539,-34.96,138.74
AU_23803,-0.0019539996738693957,-34.94,138.73
AU_21001,-0.002118003025718606,-34.03,138.68
AU_21002,-0.0021397199624731715,-34.14,138.42
AU_21003,0.0008185538881309609,-33.91,138.72
AU_21035,-0.0008602150537634378,-34.03,138.32
AU_21054,-0.004241071428571426,-33.96,138.64
AU_21076,0.002631578947368441,-33.93,138.81
AU_23039,0.004819277108433718,-34.19,138.63
AU_97004,-0.029539306221164033,-41.43,145.7
AU_97014,-0.025265017667844517,-41.44,145.53
AU_91181,-0.006060606060606073,-41.43,147.21
AU_91197,-0.019897266145304442,-41.49,147.44
AU_92024,0.0010661792766122596,-41.47,147.89
