,Long Term Trend,Latitude,Longitude
US_Lake_City,increasing,30.2675,-82.6306
US_Camden,no trend,33.6139,-92.8531
US_Hillsboro,no trend,32.0728,-97.0931
US_Phoenix_Area,no trend,33.6194,-110.9208
US_Marshall,increasing,35.8136,-82.6864
US_Subiaco,no trend,35.3233,-93.6356
US_Hobart_Municipal_AP,no trend,35.0417,-99.0894
US_Tucumcari_4_NE_,no trend,35.2281,-103.7394
US_Death_Valley_National_Park,increasing,36.5383,-117.0936
US_Hopewell,increasing,37.3364,-77.2842
US_Neosho,increasing,36.8681,-94.3681
US_Las_Animas,no trend,38.1406,-103.2272
US_Blanding,no trend,37.6644,-109.4794
US_Yosemite_National_Park_Area,no trend,37.7169,-119.6653
US_Saluda,no trend,34.0542,-81.775
US_Clarksdale,increasing,34.3017,-90.5644
US_Portales,no trend,34.2308,-103.3375
US_Springerville,no trend,34.1331,-109.1331
US_Ojai,no trend,34.4503,-119.2439
