,January,February,March,April,May,June,July,August,September,October,November,December,Latitude,Longitude
AU_72000,-1.215384615384615,0.7666666666666669,1.1285714285714283,-0.14799999999999963,0.20000000000000048,0.021052631578947295,-0.11428571428571388,-0.7999999999999997,-1.6761904761904762,-1.5625,0.804,-0.5115384615384615,-35.31,148.06
AU_72004,-1.3650000000000002,1.8500000000000005,1.7833333333333332,0.6000000000000001,0.017192982456139934,-2.0374999999999996,-1.459090909090909,-2.7704761904761916,-3.8500000000000085,-2.3384615384615377,0.9166666666666679,-0.7102564102564102,-35.52,148.15
AU_720024,-0.9599999999999994,1.0052631578947369,0.31587301587301575,-0.6481818181818182,0.7294117647058823,0.47999999999999926,-0.5789473684210527,-0.6195555555555556,-1.4041666666666668,-2.1208333333333336,0.17999999999999972,-0.15500000000000008,-35.5,147.77
AU_72042,-0.8660714285714286,0.568,1.08,0.02222222222222224,0.17777777777777792,0.3304347826086957,-0.015789473684210378,-0.2624999999999993,-1.1002673796791442,-1.1227272727272728,0.20500000000000007,0.044761904761904905,-35.28,147.74
AU_72044,-1.0941176470588234,1.1285714285714286,0.8507692307692305,0.2799999999999997,0.11666666666666654,-0.015384615384615604,0.4357142857142863,-1.0089285714285712,-1.2900000000000005,-2.312626262626263,1.1958333333333333,0.6071428571428565,-35.3,148.21
AU_72154,-0.8000000000000007,0.9125000000000001,1.44,0.08799999999999997,0.5578947368421053,0.38000000000000006,0.11000000000000014,-0.32307692307692304,-1.7111111111111117,-2.2750000000000004,0.9000000000000009,0.6999999999999998,-35.22,148.03
AU_73019,-0.7857142857142857,-0.24444444444444446,-0.39333333333333337,-0.33999999999999997,-0.6571428571428571,-0.2124999999999998,-0.6399999999999999,-0.5263157894736842,-1.9000000000000001,-1.8636363636363635,-0.21666666666666665,-0.3958333333333333,-34.85,147.57
AU_73025,-0.25,0.4666666666666668,0.7000000000000002,0.06153846153846159,0.13333333333333344,0.29999999999999716,0.25714285714285673,-0.17999999999999972,-1.22,-1.5,0.39999999999999974,0.28999999999999987,-34.79,147.56
AU_73029,0.5397435897435897,0.5882352941176479,1.9015384615384616,0.8,0.7666666666666666,1.6285714285714294,1.2391304347826084,0.9999999999999993,0.6333333333333333,0.7272727272727273,1.7500000000000002,1.2111111111111112,-34.55,148.35
AU_73124,0.9845238095238096,0.24404761904761904,1.3272727272727272,-0.22666666666666657,-0.23636363636363633,0.7999999999999989,-0.256578947368421,-0.44000000000000056,-1.443,-1.0071428571428573,1.1866666666666668,0.9173333333333333,-34.93,147.77
