,dates,Lake_City,Camden,Hillsboro,Phoenix_Area,Marshall,Subiaco,Hobart_Municipal_AP,Tucumcari_4_NE_,Death_Valley_National_Park,Hopewell,Neosho,Las_Animas,Blanding,Yosemite_National_Park_Area,Saluda,Clarksdale,Portales,Springerville,Ojai
0,Latitude,30.2675,33.6139,32.0728,33.6194,35.8136,35.3233,35.0417,35.2281,36.5383,37.3364,36.8681,38.1406,37.6644,37.7169,34.0542,34.3017,34.2308,34.1331,34.4503
1,Longitude,-82.6306,-92.8531,-97.0931,-110.9208,-82.6864,-93.6356,-99.0894,-103.7394,-117.0936,-77.2842,-94.3681,-103.2272,-109.4794,-119.6653,-81.775,-90.5644,-103.3375,-109.1331,-119.2439
2,1919-01-01,0.22,4.02,2.69,0.22,3.19,,0.15,0.04,0.0,3.36,0.18,0.0005,0.05,1.15,5.04,5.16,0.2,0.23,1.58
3,1919-02-01,0.75,3.39,2.16,0.75,1.55,,1.15,0.32,0.0,2.45,2.34,0.94,1.67,8.28,4.75,2.83,0.06,1.2,2.45
4,1919-03-01,0.97,7.19,4.31,0.97,,,2.45,3.69,,4.01,1.92,1.67,1.71,,2.37,5.97,2.85,0.27,
5,1919-04-01,0.17,3.73,4.2,0.17,2.69,,7.78,3.61,0.0,4.46,2.1,5.08,0.25,,2.21,2.68,1.84,0.3,0.4
6,1919-05-01,0.06,5.54,3.76,0.06,2.81,5.33,4.36,5.85,0.0,5.67,3.93,0.77,1.15,,4.61,7.76,1.51,0.2,0.54
7,1919-06-01,0.0005,5.77,3.91,0.0005,8.56,5.52,5.17,6.39,0.0,2.32,8.85,3.57,0.0005,,8.88,3.61,3.74,0.01,
8,1919-07-01,,2.96,3.33,1.05,3.4,2.73,4.67,3.16,0.01,10.63,1.61,3.7,1.51,,,,4.48,4.58,
9,1919-08-01,2.4,6.24,7.88,2.4,1.15,1.93,0.69,2.53,0.0,4.77,1.87,1.42,1.44,0.0005,6.58,4.67,0.85,3.6,
10,1919-09-01,1.93,1.42,6.5,1.93,0.5,2.06,1.19,4.16,0.0,0.93,1.98,0.67,0.67,1.22,0.15,0.69,5.85,1.68,
11,1919-10-01,0.25,,6.93,0.25,2.95,8.93,7.94,2.31,0.0,2.42,11.39,0.94,1.77,,3.52,10.02,5.23,0.2,
12,1919-11-01,2.38,6.44,7.35,2.38,0.77,4.02,1.89,0.71,0.2,1.13,5.84,0.61,3.35,0.6,0.51,10.42,0.36,0.75,
13,1919-12-01,0.13,3.12,0.58,0.13,2.32,0.29,0.57,0.93,0.3,1.9,0.47,0.2,0.25,5.25,6.67,2.84,0.06,0.62,
14,1920-01-01,1.28,6.1,4.77,1.42,2.73,6.02,1.6,0.76,,2.58,1.99,0.02,0.49,,5.21,6.49,0.54,0.48,
15,1920-02-01,7.68,2.03,0.58,1.46,,0.86,0.86,0.15,,7.47,0.29,0.05,2.96,,4.35,2.03,0.44,0.6,3.5
16,1920-03-01,0.96,4.7,1.8,1.35,5.42,6.12,1.38,0.26,0.3,4.2,5.69,0.3,1.22,,7.46,2.49,0.08,0.45,6.97
17,1920-04-01,7.26,7.31,0.6,0.0,5.44,4.33,1.99,0.2,0.0,2.22,2.28,2.47,0.05,4.52,4.81,10.37,0.08,,
18,1920-05-01,6.7,7.92,3.68,0.42,1.61,4.46,6.91,2.55,,1.84,7.57,1.47,1.54,,2.13,6.33,3.69,0.35,
19,1920-06-01,4.6,2.57,4.57,0.0005,3.13,2.64,1.93,3.91,,7.49,3.32,0.61,0.76,,5.42,2.89,2.25,0.75,
20,1920-07-01,4.34,3.6,6.13,0.25,2.05,6.04,4.09,1.52,0.0,,4.08,,0.0005,,4.57,7.39,1.72,0.75,
21,1920-08-01,7.31,3.04,5.84,0.75,6.4,1.73,6.71,2.12,,6.23,4.84,0.44,1.76,1.36,5.16,2.99,2.46,3.05,
22,1920-09-01,12.29,2.97,2.95,0.1,3.94,,2.25,1.44,0.0,4.07,8.0,,0.79,,4.19,3.15,0.23,1.03,
